জেলা,ইফতার,সেহেরি
ঢাকা,0,0
নারায়ণগঞ্জ,-1,0
মুন্সিগঞ্জ,-1,0
ভোলা,-2,0
গাজীপুর,0,-1
মাদারীপুর,0,1
ময়মনসিংহ,0,-1
শরীয়তপুর,0,1
বরগুনা,0,3
ঝালকাঠি,0,2
বরিশাল,0,1
পটুয়াখালী,0,2
গাইবান্ধা,3,1,
টাঙ্গাইল,2,1,
জামালপুর,2,1,
শেরপুর,2,1,
কুড়িগ্রাম,4,1,
মানিকগঞ্জ,1,2
চাঁদপুর,-1,-1
লক্ষীপুর,-2,-1
নরসিংদী,-1,-2
নেত্রকোনা,-1,-3
পিরোজপুর,-1,3
সিরাজগঞ্জ,2,2
ফরিদপুর,2,2
লালমনিরহাট,5,2
গোপালগঞ্জ,2,3
বগুড়া,4,3
বাগেরহাট,2,3
মাগুরা,4,4
রাজবাড়ী,4,4
খুলনা,3,4
নড়াইল,3,4
নীলফামারী,7,4
রংপুর,5,4
জয়পুরহাট,6,4
কুষ্টিয়া,5,5
নওগাঁ,6,5
যশোর,5,5
ঝিনাইদহ,5,5
নাটোর,6,5
পাবনা,5,5
দিনাজপুর,7,5
চুয়াডাঙ্গা,6,6
সাতক্ষীরা,5,6
রাজশাহী,7,6
পঞ্চগড়,8,6
ঠাকুরগাঁও,9,6
কিশোরগঞ্জ,-2,-2
নোয়াখালী,-3,-2
কুমিল্লা,-4,-3
বি.বাড়িয়া,-3,-3
ফেনী,-5,-3
কক্সবাজার,-7,-4
হবিগঞ্জ,-4,-4
চট্টগ্রাম,-6,-5
সুনামগঞ্জ,-4,-5
খাগড়াছড়ি,-7,-6
রাঙ্গামাটি,-8,-6
বান্দরবন,-8,-6
মৌলভীবাজার,-6,-6
সিলেট,-6,-7
মেহেরপুর,7,7
চাঁপাইনবাবগঞ্জ,9,8
